"X255_c"	1.44143069836617
"X255_b"	1.42517518924017
"X29"	1.08535676574696
"X90"	1.08425133953548
"X31"	1.08374348121015
"X111"	1.08302709937375
"X229"	1.08282813961746
"X145"	1.08272186334393
"X210"	1.0820136998962
"X125"	1.08185045267377
"X91"	1.08160262210882
"X216"	1.08159401805029
"X6"	1.0815840553571
"X180"	1.08152210798427
"X56"	1.08140127319146
"X225"	1.08139707916249
"X250"	1.08127729072915
"X84"	1.08083812834114
"X36"	1.08079369225601
"X121"	1.07970451105261
"X27"	1.07961060841393
"X223"	1.07949059716796
"X75"	1.0794152090951
"X32"	1.07938752514624
"X239"	1.07916963457982
"X135"	1.07903323307357
"X248"	1.07895618916534
"X251"	1.07891873595235
"X153"	1.07872154955029
"X59"	1.07870683674446
"X253"	1.07866196757268
"X62"	1.07854245249011
"X234"	1.0784818380719
"X170"	1.07827368941352
"X52"	1.07807501755937
"X247"	1.0777441224656
"X58"	1.07744321150916
"X112"	1.07738572848131
"X96"	1.07725567426734
"X7"	1.07724447424666
"X206"	1.07722321571293
"X1"	1.0770939281263
"X240"	1.07697908896702
"X123"	1.07695080669658
"X236"	1.07686781211892
"X144"	1.0768121355959
"X254"	1.07677452038514
"X107"	1.07677347706385
"X33"	1.07669986620476
"X199"	1.07651600429083
"X114"	1.07645126431759
"X166"	1.07636793288334
"X24"	1.07608984386505
"X189"	1.07592818583985
"X187"	1.07578175680526
"X94"	1.07558020440327
"X140"	1.07554968828035
"X195"	1.07533945116102
"X183"	1.07533065942623
"X159"	1.07526908154678
"X184"	1.07512150550839
"X87"	1.07501513095783
"X118"	1.074968814562
"X4"	1.07489096958863
"X219"	1.07475382004877
"X177"	1.07474702063835
"X86"	1.07471836873968
"X23"	1.0746653697519
"X48"	1.074641267906
"X115"	1.07459816162185
"X164"	1.07458703431625
"X246"	1.07440237943411
"X131"	1.07429388614424
"X64"	1.07429246519487
"X126"	1.07426480129828
"X98"	1.0742042920129
"X213"	1.07419783389857
"X220"	1.07387876480714
"X105"	1.07384006017431
"X50"	1.07383688851856
"X57"	1.07378249603016
"X139"	1.07354379548699
"X181"	1.07344829515627
"X124"	1.07338210721524
"X217"	1.07336655966305
"X188"	1.07331209482877
"X182"	1.07328625348909
"X66"	1.07327633232271
"X16"	1.0730889292453
"X88"	1.07306143451568
"X141"	1.0730161602061
"X12"	1.07297593430937
"X231"	1.07291390044176
"X160"	1.07287565308213
"X146"	1.07287467622869
"X45"	1.07270766413369
"X55"	1.07270430119081
"X203"	1.07267855182492
"X233"	1.07260954094561
"X92"	1.0724488789508
"X61"	1.07244427970457
"X168"	1.07233219459215
"X76"	1.07215671239905
"X13"	1.07215266183467
"X63"	1.07211301197112
"X82"	1.07210927841534
"X128"	1.07207388832742
"X103"	1.07200751809707
"X204"	1.07199666348209
"X30"	1.07197060019587
"X120"	1.07195715992739
"X194"	1.07189071458092
"X226"	1.07163144731004
"X150"	1.07162888416973
"X110"	1.0715361859491
"X212"	1.07153343214724
"X9"	1.07142563462695
"X175"	1.07141761204201
"X191"	1.07120054945401
"X192"	1.07118947257627
"X136"	1.07104049065706
"X185"	1.07099186468636
"X100"	1.0709427402519
"X20"	1.07093096252324
"X3"	1.07088451875632
"X163"	1.0708588064279
"X95"	1.07083554246327
"X89"	1.07078731739885
"X218"	1.07075203553758
"X158"	1.07070940040254
"X156"	1.07057214266379
"X252"	1.07054430830243
"X143"	1.07053174619833
"X205"	1.07049070401133
"X237"	1.07048309160944
"X65"	1.07030407639986
"X102"	1.07028756361586
"X44"	1.07023095006519
"X244"	1.07022553171904
"X207"	1.07021314069369
"X5"	1.07017539423018
"X200"	1.07006424453651
"X129"	1.07004889341032
"X74"	1.06995400171299
"X72"	1.06993701822497
"X67"	1.06992454892566
"X221"	1.06991432924789
"X116"	1.0698040314299
"X130"	1.06966919929077
"X17"	1.06963465264562
"X69"	1.06959398689317
"X85"	1.06937123610792
"X235"	1.06924070970051
"X79"	1.06923007409067
"X197"	1.06919441298187
"X21"	1.06918034969139
"X138"	1.06902085476014
"X8"	1.06894346400637
"X83"	1.06891752338923
"X211"	1.06890439818246
"X41"	1.06882593331037
"X97"	1.0687478266601
"X198"	1.06862391069234
"X35"	1.06860399838184
"X132"	1.06858665870224
"X209"	1.06837815813911
"X137"	1.06831068637491
"X93"	1.06828627814579
"X227"	1.06827968447886
"X11"	1.06817245762446
"X47"	1.06816790478778
"X155"	1.06812713807605
"X127"	1.06812570544244
"X238"	1.06802442930196
"X53"	1.0679833881989
"X108"	1.06774089738753
"X77"	1.06760708384406
"X176"	1.06758826349723
"X142"	1.06752637230511
"X38"	1.06747004712642
"X152"	1.06724134959895
"X42"	1.06668795762881
"X202"	1.06661544903813
"X147"	1.06658962777494
"X249"	1.06648002813026
"X34"	1.06640072550974
"X196"	1.06621019588103
"X161"	1.06611470405292
"X54"	1.0660176857196
"X106"	1.06595505645875
"X78"	1.0659118593375
"X71"	1.06539057851432
"X133"	1.06534580861169
"X230"	1.06533585408503
"X51"	1.06526182339285
"X73"	1.06524032131509
"X241"	1.06521849156833
"X80"	1.06513178767947
"X243"	1.06502310505442
"X10"	1.06500431983057
"X113"	1.06497719172635
"X101"	1.06485383606768
"X37"	1.06481214346882
"X43"	1.06480111440795
"X174"	1.06478192573882
"X169"	1.06476707433759
"X228"	1.06467262307129
"X208"	1.06455376452459
"X117"	1.0644453886465
"X186"	1.0643875440335
"X162"	1.06433666242261
"X68"	1.06433365925802
"X99"	1.06431727382982
"X154"	1.06430188973931
"X60"	1.0642730062952
